AuthorId_recipe,RecipeId_encoded,AggregatedRating,TotalTimeMinutes
395736,8079,5.0,28.0
58104,3773,5.0,80.0
1525071,12680,5.0,65.0
233464,6065,4.0,15.0
115178,5411,5.0,80.0
32023,902,5.0,210.0
230557,7870,4.0,30.0
1762,67,5.0,70.0
25792,7475,5.0,25.0
242729,8503,5.0,40.0
8688,850,5.0,2.0
17803,1285,5.0,2.0
166019,6413,5.0,25.0
25792,4795,5.0,45.0
644764,12283,3.0,20.0
1262706,11718,5.0,58.0
62043,5113,5.0,30.0
169430,11409,5.0,45.0
35193,1647,5.0,25.0
318262,12813,5.0,50.0
1762,67,5.0,70.0
240552,9599,5.0,30.0
53152,1896,5.0,60.0
1368096,12015,4.5,30.0
225426,12586,5.0,84.0
946943,11800,5.0,30.0
1701377,13222,5.0,30.0
494370,12591,5.0,1020.0
615522,9610,5.0,165.0
157425,297,4.5,40.0
1375761,12499,4.0,60.0
7503,203,5.0,70.0
1315580,11815,5.0,25.0
37229,1132,5.0,15.0
1210365,12030,5.0,20.0
2140614,13041,4.5,70.0
324390,7536,5.0,55.0
14664,2017,5.0,40.0
182171,5124,5.0,55.0
29196,2933,5.0,30.0
482376,12505,5.0,40.0
90767,4999,5.0,65.0
252657,13428,3.0,20.0
102299,3635,5.0,190.0
68357,3201,5.0,10.0
568205,10294,4.0,50.0
407338,9356,4.5,35.0
526666,12032,4.5,65.0
335149,7460,4.0,40.0
37636,4592,5.0,540.0
2009447,13198,5.0,80.0
451700,8720,4.5,45.0
395736,8079,5.0,28.0
38418,2708,3.5,25.0
44160,1587,4.5,20.0
89831,11128,5.0,5.0
584814,10078,5.0,25.0
5060,10771,5.0,195.0
72745,2819,5.0,50.0
85018,3526,5.0,35.0
1728,134,5.0,60.0
38532,1237,5.0,22.0
101823,3792,5.0,130.0
2818002,13298,4.0,30.0
16827,1208,5.0,10.0
145599,7623,4.5,60.0
540346,12584,5.0,5.0
557801,10835,4.5,10.0
1534,47,5.0,75.0
290994,7511,5.0,55.0
428885,11008,5.0,30.0
1267223,11666,5.0,55.0
1801737244,13388,5.0,5.0
49414,9385,5.0,100.0
513366,8973,5.0,15.0
349071,7694,5.0,9.0
407338,10075,5.0,65.0
1363049,11950,3.5,70.0
1755,35,5.0,30.0
830055,11024,5.0,60.0
199792,10022,5.0,70.0
82367,3345,5.0,75.0
37779,1330,5.0,32.0
186371,5449,5.0,90.0
2009447,13198,5.0,80.0
89831,10696,5.0,120.0
1762,67,5.0,70.0
1762,67,5.0,70.0
47907,5519,5.0,45.0
343789,7992,5.0,5.0
367711,10687,5.0,60.0
235355,7472,5.0,60.0
230412,6293,5.0,20.0
618715,11702,4.5,90.0
49304,2484,5.0,195.0
285051,6782,4.5,15.0
865653,11371,5.0,35.0
42720,2311,5.0,40.0
222064,9355,5.0,55.0
149363,4717,5.0,65.0
32023,902,5.0,210.0
156653,4648,5.0,25.0
103224,3722,5.0,10.0
79760,2993,5.0,25.0
143721,8917,5.0,35.0
1256549,11716,4.5,30.0
21641,447,5.0,50.0
166019,6413,5.0,25.0
49304,2764,5.0,50.0
1762,67,5.0,70.0
55221,5971,5.0,45.0
133174,4775,5.0,140.0
19185,11379,5.0,35.0
43083,5214,5.0,50.0
28846,819,5.0,45.0
226863,9829,5.0,10.0
307114,9332,4.5,32.0
1535,105,5.0,190.0
174096,11235,5.0,15.0
1762,67,5.0,70.0
48263,2121,5.0,6.0
292979,10912,5.0,30.0
107014,4009,5.0,16.0
37779,1304,5.0,90.0
44846,11915,4.5,15.0
27783,5065,5.0,75.0
267133,6550,4.5,40.0
37636,4592,5.0,540.0
1535,4818,5.0,25.0
63128,2937,5.0,120.0
642765,11288,4.5,6.0
68526,9060,5.0,20.0
131674,9842,5.0,730.0
598340,9532,5.0,35.0
335149,7460,4.0,40.0
1701377,13222,5.0,30.0
41480,2498,5.0,50.0
66983,5121,5.0,45.0
181661,6871,5.0,170.0
465056,9694,4.5,3.0
180567,5167,5.0,75.0
26341,828,5.0,90.0
209747,6334,4.5,30.0
5536,188,5.0,30.0
26719,4504,5.0,35.0
68526,9659,5.0,40.0
169969,7808,4.5,10.0
40135,4436,5.0,20.0
32772,7099,5.0,490.0
80353,4522,5.0,55.0
74342,13254,4.5,485.0
888035,10970,5.0,40.0
1268187,11663,4.0,20.0
459426,9201,5.0,25.0
21752,646,4.0,155.0
26313,6810,5.0,30.0
180567,5167,5.0,75.0
85157,10196,4.5,27.0
64667,10438,5.0,315.0
1762,67,5.0,70.0
